cohort	trait	description	definition	model_marginal	n_samples	n_cases	n_controls	mean	sd	unit	domain	trait_cohort
UKBB	AMD	Age-related macular degeneration	Combination of Phecode (362.29) and self-reported eye problems/disorders (6148)	SAIGE	352371	4426	347945	NA	NA	NA	Other	AMD_Combined
FG	Amyloidosis	Amyloidosis, other/unspecified	FinnGen: E4_AMYLNAS	SAIGE	231680	232	231448	NA	NA	NA	Neurological	E4_AMYLNAS
UKBB	ApoA	Apolipoprotein A	UKBB: 30630	BOLT	315139	NA	NA	1.542280949	0.270603288	g/L	Lipids	ApoA
UKBB	ApoB	Apolipoprotein B	UKBB: 30640	BOLT	343572	NA	NA	1.033981212	0.238024163	g/L	Lipids	ApoB
FG	AS	Ankylosing spondylitis	FinnGen: M13_ANKYLOSPON	SAIGE	196135	1846	194289	NA	NA	NA	Immunological	M13_ANKYLOSPON
BBJ	AST	Aspartate aminotransferase	Retrieved from medical records (doi: 10.1101/2020.10.23.20213652)	BOLT	150068	NA	NA	23.42840172	8.502779957	IU/L	Hepatic	AST
UKBB	AST	Aspartate aminotransferase	UKBB: 30650	BOLT	343988	NA	NA	26.21393072	10.62157663	U/L	Hepatic	AST
BBJ	Asthma	Asthma	Diagnosis by professional physicians and past medical history (doi: 10.1101/2020.10.23.20213652)	SAIGE	175948	13015	162933	NA	NA	NA	Immunological	Asthma_Combined
FG	Asthma	Asthma	FinnGen: J10_ASTHMA	SAIGE	183996	25544	158452	NA	NA	NA	Immunological	J10_ASTHMA
UKBB	Asthma	Asthma	Phecode 495	SAIGE	354883	45665	309218	NA	NA	NA	Immunological	Asthma_Combined
UKBB	Balding_Type4	Balding Type 4	2395 (Pattern 4 as cases vs others)	SAIGE	167000	30876	136124	NA	NA	NA	Other	Balding_Type4
BBJ	Baso	Basophil count	Retrieved from medical records (doi: 10.1101/2020.10.23.20213652)	BOLT	91908	NA	NA	0.03420663605	0.02523146923	10^9 cells/L	Hematopoietic	Baso
UKBB	Baso	Basophil count	UKBB: 30160	BOLT	350726	NA	NA	0.03390222	0.051381354	10^9 cells/L	Hematopoietic	Baso
FG	Benign_Neoplasms	Benign neoplasms (controls excluding all cancers)	FinnGen: CD2_BENIGN_EXALLC	SAIGE	228682	62983	165699	NA	NA	NA	Other	CD2_BENIGN_EXALLC
UKBB	Benign_Neoplasms	Benign neoplasms	ICD-10 D10-D36, ICD-9 210-229	SAIGE	328234	40415	287819	NA	NA	NA	Other	Benign_Neoplasms
UKBB	BFP	Body fat percentage	UKBB: 23099	BOLT	354844	NA	NA	31.33932038	8.517441649	%	Metabolic	BFP
FG	Blood_Clot_Lung	Pulmonary embolism	FinnGen: I9_PULMEMB	SAIGE	259901	5130	254771	NA	NA	NA	Other	I9_PULMEMB
UKBB	Blood_Clot_Lung	Blood clot in the lung	UKBB: 6152	SAIGE	361144	3055	358089	NA	NA	NA	Other	Blood_Clot_Lung
BBJ	BMI	Body mass index	Retrieved from medical records (doi: 10.1101/2020.10.23.20213652)	BOLT	163835	NA	NA	23.29715232	3.564805049	kg/m^2	Metabolic	BMI
FG	BMI	Body mass index	FinnGen: BMI_IRN	BOLT	178966	NA	NA	27.29132878	5.367449214	kg/m^2	Metabolic	BMI_IRN
UKBB	BMI	Body mass index	UKBB: 21001	BOLT	360023	NA	NA	27.38679712	4.75735027	kg/m^2	Metabolic	BMI
BBJ	BrC	Breast cancer	Diagnosis by professional physicians and past medical history (doi: 10.1101/2020.10.23.20213652)	SAIGE	79550	6325	73225	NA	NA	NA	Other	BrC_Combined
FG	BrC	Malignant neoplasm of breast (other cancers excluded from controls)	FinnGen: C3_BREAST_EXALLC	SAIGE	128554	11573	116981	NA	NA	NA	Other	C3_BREAST_EXALLC
UKBB	BrC	Breast cancer	Phecode 174	SAIGE	182281	11300	170981	NA	NA	NA	Other	BrC_F
BBJ	BUN	Blood urea nitrogen	Retrieved from medical records (doi: 10.1101/2020.10.23.20213652)	BOLT	148767	NA	NA	15.47042832	4.912446892	mg/dL	Renal	BUN
BBJ	BW	Body weight	Retrieved from medical records (doi: 10.1101/2020.10.23.20213652)	BOLT	165419	NA	NA	59.64885486	11.54756662	kg	Metabolic	BW
FG	BW	Body weight	FinnGen: WEIGHT_IRN	BOLT	184876	NA	NA	79.11366538	17.84687077	kg	Metabolic	WEIGHT_IRN
UKBB	BW	Body weight	UKBB: 21002	BOLT	360153	NA	NA	78.28689474	15.89420791	kg	Metabolic	BW
BBJ	Ca	Calcium	Retrieved from medical records (doi: 10.1101/2020.10.23.20213652)	BOLT	83980	NA	NA	2.288776824	0.132498574	mmol/L	Other	Ca
UKBB	Ca	Calcium	UKBB: 30680	BOLT	316888	NA	NA	2.380307251	0.093845784	mmol/L	Other	Ca
BBJ	CAD	Coronary artery disease	Combination of myocardial infarction, unstable angina, and stable angina	SAIGE	178726	32512	146214	NA	NA	NA	Cardiovascular	CAD_Combined
FG	CAD	Major coronary heart disease event	FinnGen: I9_CHD	SAIGE	260405	25707	234698	NA	NA	NA	Cardiovascular	I9_CHD
UKBB	CAD	Coronary artery disease	Phecode 411	SAIGE	360710	27244	333466	NA	NA	NA	Cardiovascular	CAD
FG	Carpal_Tunnel_Syndrome	Carpal tunnel syndrome	FinnGen: G6_CARPTU	SAIGE	245120	13813	231307	NA	NA	NA	Other	G6_CARPTU
UKBB	Carpal_Tunnel_Syndrome	Carpal tunnel syndrome	Phecode 351	SAIGE	356657	10982	345675	NA	NA	NA	Other	Carpal_Tunnel_Syndrome
BBJ	Cataract	Cataract	Diagnosis by professional physicians and past medical history (doi: 10.1101/2020.10.23.20213652)	SAIGE	178726	38194	140532	NA	NA	NA	Other	Cataract_Combined
FG	Cataract	Senile cataract	FinnGen: H7_CATARACTSENILE	SAIGE	257504	32692	224812	NA	NA	NA	Other	H7_CATARACTSENILE
UKBB	Cataract	Cataract	Phecode 366	SAIGE	361144	17827	343317	NA	NA	NA	Other	Cataract
FG	CD	Crohn disease (strict definition, require KELA, min 2 HDR)	FinnGen: K11_CD_STRICT2	SAIGE	260248	1020	259228	NA	NA	NA	Immunological	K11_CD_STRICT2
UKBB	CD	Crohn's disease	Phecode 555.1	SAIGE	297740	1510	296230	NA	NA	NA	Immunological	Crohn
BBJ	CeAn	Cerebral aneurysm	Diagnosis by professional physicians and past medical history (doi: 10.1101/2020.10.23.20213652)	SAIGE	155154	3132	152022	NA	NA	NA	Cardiovascular	CeAn_Combined
BBJ	Cholelithiasis	Cholelithiasis	Past medical history (doi: 10.1101/2020.10.23.20213652)	SAIGE	177558	9305	168253	NA	NA	NA	Hepatic	Cholelithiasis
FG	Cholelithiasis	Cholelithiasis	FinnGen: K11_CHOLELITH	SAIGE	254733	23089	231644	NA	NA	NA	Hepatic	K11_CHOLELITH
UKBB	Cholelithiasis	Cholelithiasis	Phecode 574.1	SAIGE	358546	12630	345916	NA	NA	NA	Hepatic	Cholelithiasis
FG	Chronic_Tonsillitis	Chronic diseases of tonsils and adenoids	FinnGen: J10_CHRONTONSADEN	SAIGE	228343	29135	199208	NA	NA	NA	Other	J10_CHRONTONSADEN
BBJ	Cirrhosis	Cirrhosis	Diagnosis by professional physicians and past medical history (doi: 10.1101/2020.10.23.20213652)	SAIGE	178726	2551	176175	NA	NA	NA	Hepatic	Cirrhosis_Combined
FG	Cirrhosis	Cirrhosis, broad definition used in the article https://doi.org/10.1101/594523	FinnGen: CIRRHOSIS_BROAD	SAIGE	260405	2380	258025	NA	NA	NA	Hepatic	CIRRHOSIS_BROAD
UKBB	Cirrhosis	Cirrhosis	Phecode 571	SAIGE	355644	2603	353041	NA	NA	NA	Hepatic	Cirrhosis
UKBB	College	College completion	UKBB: 6138	SAIGE	361144	173691	187453	NA	NA	NA	Other	College
BBJ	COPD	Chronic obstructive pulmonary disease	Diagnosis by professional physicians and past medical history (doi: 10.1101/2020.10.23.20213652)	SAIGE	166670	4017	162653	NA	NA	NA	Other	COPD_Final
FG	COPD	COPD	FinnGen: J10_COPD	SAIGE	230024	9566	220458	NA	NA	NA	Other	J10_COPD
UKBB	COPD	Chronic obstructive pulmonary disease	Phecode 496.21	SAIGE	339262	8085	331177	NA	NA	NA	Other	COPD_Combined
FG	Coxarthrosis	Coxarthrosis	FinnGen: M13_ARTHTROSIS_COX	SAIGE	186533	13119	173414	NA	NA	NA	Immunological	M13_ARTHTROSIS_COX
UKBB	Coxarthrosis	Coxarthrosis	Phecode 740.1	SAIGE	351668	15420	336248	NA	NA	NA	Immunological	Coxarthrosis
BBJ	CRC	Colorectal cancer	Diagnosis by professional physicians and past medical history (doi: 10.1101/2020.10.23.20213652)	SAIGE	167691	8305	159386	NA	NA	NA	Other	CRC_Combined
FG	CRC	Colorectal cancer (other cancers excluded from controls)	FinnGen: C3_COLORECTAL_EXALLC	SAIGE	208471	4401	204070	NA	NA	NA	Other	C3_COLORECTAL_EXALLC
UKBB	CRC	Colorectal cancer	Phecode 153	SAIGE	342123	3977	338146	NA	NA	NA	Other	CRC
BBJ	CRP	C-reactive protein	Retrieved from medical records (doi: 10.1101/2020.10.23.20213652)	BOLT	83025	NA	NA	2.64107966	3.10948265	mg/L	Immunological	CRP
UKBB	CRP	C-reactive protein	UKBB: 30710	BOLT	344503	NA	NA	2.587855461	4.383538514	mg/L	Immunological	CRP
BBJ	DBP	Diastolic blood pressure	Retrieved from medical records (doi: 10.1101/2020.10.23.20213652)	BOLT	145515	NA	NA	79.19159537	12.18898334	mmHg	Cardiovascular	DBP
UKBB	DBP	Diastolic blood pressure	UKBB: 4079	BOLT	360865	NA	NA	82.99292533	10.46891869	mmHg	Cardiovascular	DBP
FG	Depression	Depression	FinnGen: F5_DEPRESSIO	SAIGE	256915	28098	228817	NA	NA	NA	Behavioral	F5_DEPRESSIO
UKBB	Depression	Seen doctor (GP) for nerves, anxiety, tension or depression	UKBB: 2090	SAIGE	361144	124906	236238	NA	NA	NA	Behavioral	Depression_GP
FG	Depression_medications	Depression medications	FinnGen: ANTIDEPRESSANTS	SAIGE	140016	74560	65456	NA	NA	NA	Behavioral	ANTIDEPRESSANTS
FG	Diverticulosis	Diverticular disease of intestine	FinnGen: K11_DIVERTIC	SAIGE	233807	17851	215956	NA	NA	NA	Other	K11_DIVERTIC
UKBB	Diverticulosis	Diverticulosis	Phecode 562.1	SAIGE	320165	23935	296230	NA	NA	NA	Other	Diverticulosis
FG	DVT	DVT of lower extremities	FinnGen: I9_PHLETHROMBDVTLOW	SAIGE	231367	5632	225735	NA	NA	NA	Other	I9_PHLETHROMBDVTLOW
UKBB	DVT	Blood clot in the leg	UKBB: 6152	SAIGE	361144	84610	276534	NA	NA	NA	Other	DVT
UKBB	eBMD	Estimated heel bone mineral density	Mean of left and right heel bone mineral density (UKBB: 4105, 4124)	BOLT	326159	NA	NA	0.542695141	0.134054681	g/cm^2	Skeletal	eBMD
UKBB	EduYears	Number of years of education	UKBB: 6138	BOLT	297172	NA	NA	16.58552286	3.964930951	years	Other	EduYears
BBJ	eGFR	Estimated glomerular filtration rate (serum creatinine)	Retrieved from medical records (doi: 10.1101/2020.10.23.20213652)	BOLT	154633	NA	NA	70.00696024	22.05976901	mL/min/1.73 m^2	Renal	eGFR
UKBB	eGFR	Estimated glomerular filtration rate (serum creatinine)	eGFR based on serum creatinine (UKBB: 30700) using the CKD-EPI formula	BOLT	345067	NA	NA	90.51609834	13.22068274	mL/min/1.73 m^2	Renal	eGFR
UKBB	eGFRcys	Estimated glomerular filtration rate (cystain C)	eGFR based on cystain C (UKBB: 30720) using the CKD-EPI formula	BOLT	345219	NA	NA	305.5869976	28.98449814	mL/min/1.73 m^2	Renal	eGFRcys
BBJ	Endometriosis	Endometriosis	Diagnosis by professional physicians and past medical history (doi: 10.1101/2020.10.23.20213652)	SAIGE	82761	1786	80975	NA	NA	NA	Other	Endometriosis_Combined
FG	Endometriosis	Endometriosis	FinnGen: N14_ENDOMETRIOSIS	SAIGE	91622	10029	81593	NA	NA	NA	Other	N14_ENDOMETRIOSIS
BBJ	Eosino	Eosinophil count	Retrieved from medical records (doi: 10.1101/2020.10.23.20213652)	BOLT	93063	NA	NA	0.1730615715	0.1389530796	10^9 cells/L	Hematopoietic	Eosino
UKBB	Eosino	Eosinophil count	UKBB: 30150	BOLT	350726	NA	NA	0.17413431	0.135822295	10^9 cells/L	Hematopoietic	Eosino
BBJ	EsC	Esophageal cancer	Diagnosis by professional physicians and past medical history (doi: 10.1101/2020.10.23.20213652)	SAIGE	160589	1388	159201	NA	NA	NA	Other	EsC_Combined
UKBB	FedUp_Feelings	Fed-up feelings	UKBB: 1960	SAIGE	353716	143312	210404	NA	NA	NA	Behavioral	FedUp_Feelings
UKBB	FEV1FVC	FEV1/FVC ratio	FEV1 (20150) divided by FVC (20151)	BOLT	272338	NA	NA	0.754058663	0.066311301	[ratio]	Other	FEV1FVC
FG	Fibroblastic_Disorders	Fibroblastic disorders	FinnGen: M13_FIBROBLASTIC	SAIGE	202777	5053	197724	NA	NA	NA	Skeletal	M13_FIBROBLASTIC
UKBB	Fibroblastic_Disorders	Fibroblastic disorders	ICD10: M72	SAIGE	361144	3439	357705	NA	NA	NA	Skeletal	Fibroblastic_Disorders
BBJ	GaC	Gastric cancer	Diagnosis by professional physicians and past medical history (doi: 10.1101/2020.10.23.20213652)	SAIGE	167122	7921	159201	NA	NA	NA	Other	GaC_Combined
FG	GaC	Malignant neoplasm of stomach (controls excluding all cancers)	FinnGen: C3_STOMACH_EXALLC	SAIGE	204959	889	204070	NA	NA	NA	Other	C3_STOMACH_EXALLC
BBJ	Gastric_Ulcer	Gastric ulcer	Past medical history (doi: 10.1101/2020.10.23.20213652)	SAIGE	173877	12650	161227	NA	NA	NA	Other	Gastric_Ulcer
BBJ	GD	Graves' disease	Diagnosis by professional physicians and past medical history (doi: 10.1101/2020.10.23.20213652)	SAIGE	175465	2809	172656	NA	NA	NA	Immunological	GD_Combined
FG	GD	Thyrotoxicosis with diffuse goitr	FinnGen: E4_THYTOXGOITDIF	SAIGE	224753	2778	221975	NA	NA	NA	Immunological	E4_THYTOXGOITDIF
BBJ	GGT	Gamma-glutamyl transferase	Retrieved from medical records (doi: 10.1101/2020.10.23.20213652)	BOLT	133471	NA	NA	35.50356872	26.10347486	IU/L	Hepatic	GGT
UKBB	GGT	Gamma-glutamyl transferase	UKBB: 30730	BOLT	345062	NA	NA	37.3975074	42.29722956	U/L	Hepatic	GGT
BBJ	Glaucoma	Glaucoma	Diagnosis by professional physicians and past medical history (doi: 10.1101/2020.10.23.20213652)	SAIGE	177351	8448	168903	NA	NA	NA	Other	Glaucoma_Combined
FG	Glaucoma	Primary open-angle glaucoma	FinnGen: H7_GLAUCPRIMOPEN	SAIGE	255283	5363	249920	NA	NA	NA	Other	H7_GLAUCPRIMOPEN
UKBB	Glaucoma	Glaucoma (Phecode + Self-reported)	Combination of Phecode (365) and self-reported eye problems/disorders (UKBB: 6148)	SAIGE	354399	7143	347256	NA	NA	NA	Other	Glaucoma_Combined
BBJ	Glucose	Glucose	Retrieved from medical records (doi: 10.1101/2020.10.23.20213652)	BOLT	133336	NA	NA	6.588479398	2.030137603	mmol/L	Metabolic	Glucose
UKBB	Glucose	Glucose	UKBB: 30740	BOLT	316666	NA	NA	5.116997442	1.207129223	mmol/L	Metabolic	Glucose
FG	Gout	Gout	FinnGen: GOUT	SAIGE	245732	4502	241230	NA	NA	NA	Other	GOUT
UKBB	Guilty_Feelings	Guilty feelings	UKBB: 2030	SAIGE	351860	100115	251745	NA	NA	NA	Behavioral	Guilty_Feelings
BBJ	Hb	Hemoglobin	Retrieved from medical records (doi: 10.1101/2020.10.23.20213652)	BOLT	152447	NA	NA	13.42143958	1.783144592	g/dL	Hematopoietic	Hb
UKBB	Hb	Hemoglobin	UKBB: 30020	BOLT	351327	NA	NA	14.20806149	1.228780911	g/dL	Hematopoietic	Hb
BBJ	HbA1c	Hemoglobin A1c	Retrieved from medical records (doi: 10.1101/2020.10.23.20213652)	BOLT	71221	NA	NA	60.29289269	11.32076527	mmol/mol	Metabolic	HbA1c
UKBB	HbA1c	Hemoglobin A1c	UKBB: 30750	BOLT	345271	NA	NA	35.93836175	6.50929274	mmol/mol	Metabolic	HbA1c
BBJ	HDLC	High density lipoprotein cholesterol	Retrieved from medical records (doi: 10.1101/2020.10.23.20213652)	BOLT	74970	NA	NA	1.419911351	0.40481675	mmol/L	Lipids	HDLC
UKBB	HDLC	High density lipoprotein cholesterol	UKBB: 30760	BOLT	316875	NA	NA	1.453310419	0.382789604	mmol/L	Lipids	HDLC
BBJ	Height	Adult height	Retrieved from medical records (doi: 10.1101/2020.10.23.20213652)	BOLT	165056	NA	NA	159.6884523	8.993135911	cm	Skeletal	Height
FG	Height	Adult height	FinnGen: HEIGHT_IRN	BOLT	180544	NA	NA	169.8801179	10.0980524	cm	Skeletal	HEIGHT_IRN
UKBB	Height	Adult height	UKBB: 50	BOLT	360415	NA	NA	168.8335732	9.239904627	cm	Skeletal	Height
FG	Hereditary_Retinal_Dystrophy	Hereditary retinal dystrophy	FinnGen: H7_HEREDRETINADYST	SAIGE	241433	243	241190	NA	NA	NA	Other	H7_HEREDRETINADYST
BBJ	Ht	Hematocrit	Retrieved from medical records (doi: 10.1101/2020.10.23.20213652)	BOLT	153015	NA	NA	40.19628847	4.948091691	%	Hematopoietic	Ht
UKBB	Ht	Hematocrit	UKBB: 30030	BOLT	351328	NA	NA	41.14752667	3.519955997	%	Hematopoietic	Ht
FG	Hypertension	Hypertensive diseases	FinnGen: I9_HYPERTENSION	SAIGE	260405	68050	192355	NA	NA	NA	Cardiovascular	I9_HYPERTENSION
FG	Hypothyroidism	Hypothyroidism, strict autoimmune	FinnGen: E4_HYTHY_AI_STRICT	SAIGE	235230	28688	206542	NA	NA	NA	Immunological	E4_HYTHY_AI_STRICT
UKBB	Hypothyroidism	Hypothyroidism	Phecode 244	SAIGE	358851	12916	345935	NA	NA	NA	Immunological	Hypothyroidism
FG	IBD	Inflammatory bowel disease, strict (require KELA)	FinnGen: K11_IBD_STRICT	SAIGE	254316	4611	249705	NA	NA	NA	Immunological	K11_IBD_STRICT
UKBB	IBD	Inflammatory bowel disease	Phecode 555	SAIGE	300205	3975	296230	NA	NA	NA	Immunological	IBD
FG	ICP	Intrahepatic Cholestasis of Pregnancy (ICP)	FinnGen: O15_ICP	SAIGE	147061	1177	145884	NA	NA	NA	Hepatic	O15_ICP
UKBB	IGF1	Insulin-like growth factor 1	UKBB: 30770	BOLT	343465	NA	NA	21.39280336	5.662345642	nmol/L	Other	IGF1
BBJ	Inguinal_Hernia	Inguinal hernia	Past medical history (doi: 10.1101/2020.10.23.20213652)	SAIGE	178726	1664	177062	NA	NA	NA	Other	Ing_hernia_Text
FG	Inguinal_Hernia	Inguinal hernia	FinnGen: K11_HERING	SAIGE	246824	20538	226286	NA	NA	NA	Other	K11_HERING
UKBB	Inguinal_Hernia	Inguinal hernia	Phecode 550.1	SAIGE	333807	14021	319786	NA	NA	NA	Other	Inguinal_Hernia
UKBB	Insomnia	Insomnia	UKBB: 1200	BOLT	360740	NA	NA	NA	NA	NA	Neurological	Insomnia
BBJ	IPF	Interstitial lung disease	Past medical history (doi: 10.1101/2020.10.23.20213652)	SAIGE	178020	1046	176974	NA	NA	NA	Other	ILD_Combined
FG	IPF	Idiopathic pulmonary fibrosis	FinnGen: IPF	SAIGE	234218	1178	233040	NA	NA	NA	Other	IPF
FG	Iron_Deficiency_Anaemia	Iron deficiency anaemia	FinnGen: D3_ANAEMIA_IRONDEF	SAIGE	258505	7486	251019	NA	NA	NA	Hematopoietic	D3_ANAEMIA_IRONDEF
UKBB	Irritability	Irritability	UKBB: 1940	SAIGE	345185	96846	248339	NA	NA	NA	Behavioral	Irritability
BBJ	IS	Ischemic stroke	Diagnosis by professional physicians and past medical history (doi: 10.1101/2020.10.23.20213652)	SAIGE	174686	22664	152022	NA	NA	NA	Cardiovascular	IS_Combined
FG	IS	STROKE	FinnGen: C_STROKE	SAIGE	213627	22791	190836	NA	NA	NA	Cardiovascular	C_STROKE
UKBB	IS	Ischemic stroke	Phecode 433.21	SAIGE	353937	1555	352382	NA	NA	NA	Cardiovascular	IS
BBJ	Keloid	Keloid	Diagnosis by professional physicians and past medical history (doi: 10.1101/2020.10.23.20213652)	SAIGE	178726	1055	177671	NA	NA	NA	Other	Keloid_Combined
FG	Keloid	Hypertrophic scar	FinnGen: L12_HYPETROPHICSCAR	SAIGE	247545	936	246609	NA	NA	NA	Other	L12_HYPETROPHICSCAR
BBJ	LDLC	Low density lipoprotein cholesterol	Retrieved from medical records (doi: 10.1101/2020.10.23.20213652)	BOLT	72866	NA	NA	3.390372199	1.070498964	mmol/L	Lipids	LDLC
UKBB	LDLC	Low density lipoprotein cholesterol	UKBB: 30780	BOLT	344613	NA	NA	3.757920525	0.844767127	mmol/L	Lipids	LDLC
UKBB	LipoA	Lipoprotein A	UKBB: 30790	BOLT	275456	NA	NA	44.15985918	49.51709641	nmol/L	Lipids	LipoA
UKBB	Loneliness	Loneliness	UKBB: 2020	SAIGE	355535	63497	292038	NA	NA	NA	Behavioral	Loneliness
BBJ	LOY	Mosaic loss of chromosome Y	PAR-LOY (see Terao et al. Nat. Commun. 2019)	BOLT	95380	NA	NA	NA	NA	NA	Other	LOY
UKBB	LOY	Loss of Y	PAR-LOY (see Thompson et al. Nature, 2019)	BOLT	205011	NA	NA	NA	NA	NA	Other	LOY
BBJ	LuC	Lung cancer	Diagnosis by professional physicians and past medical history (doi: 10.1101/2020.10.23.20213652)	SAIGE	178726	4444	174282	NA	NA	NA	Other	LuC_Combined
FG	LuC	Malignant neoplasm of bronchus and lung (other cancers excluded from controls)	FinnGen: C3_BRONCHUS_LUNG_EXALLC	SAIGE	207082	3061	204021	NA	NA	NA	Other	C3_BRONCHUS_LUNG_EXALLC
UKBB	LuC	Lung cancer	Phecode 165.1	SAIGE	360610	1863	358747	NA	NA	NA	Other	LuC
BBJ	Lym	Lymphocyte count	Retrieved from medical records (doi: 10.1101/2020.10.23.20213652)	BOLT	95717	NA	NA	1.778861332	0.7265391929	10^9 cells/L	Hematopoietic	Lym
UKBB	Lym	Lymphocyte count	UKBB: 30120	BOLT	350726	NA	NA	1.949489545	1.123794981	10^9 cells/L	Hematopoietic	Lym
BBJ	Malignant_Neoplasms	Cancer	Combination of malignant cancers	SAIGE	162045	39564	122481	NA	NA	NA	Other	Malignant_Tumor_Combined
FG	Malignant_Neoplasms	Malignant neoplasm	FinnGen: C3_CANCER	SAIGE	260405	51271	209134	NA	NA	NA	Other	C3_CANCER
UKBB	Malignant_Neoplasms	Cancer	ICD-10: C00-C97, ICD-9: 140-229	SAIGE	361144	40673	320471	NA	NA	NA	Other	Cancer
BBJ	MAP	Mean arterial pressure	(SBP + 2 * DBP) / 3	BOLT	145502	NA	NA	97.65401621	13.58824517	mmHg	Cardiovascular	MAP
UKBB	MAP	Mean arterial pressure	(SBP [UKBB: 4080] + 2 * DBP [UKBB: 4079]) / 3	BOLT	360863	NA	NA	101.7519239	12.32564094	mmHg	Cardiovascular	MAP
BBJ	MCH	Mean corpuscular hemoglobin	Retrieved from medical records (doi: 10.1101/2020.10.23.20213652)	BOLT	128028	NA	NA	31.02560848	2.02938431	pg	Hematopoietic	MCH
UKBB	MCH	Mean corpuscular hemoglobin	UKBB: 30050	BOLT	351324	NA	NA	31.56169581	1.829064527	pg	Hematopoietic	MCH
